the thə
of əv
to tə
and and
a ā
in in
is iz
it it
you yü
that that
he hē
was wəz
for fər
on ȯn
are er
with with
as əz
I ī
his hiz
they thā
be bē
at at
one wən
have hav
this this
from frəm
or ər
had had
by bī
hot hät
word wərd
but bət
what hwät
some səm
we wē
can kən
out au̇t
other əthər
were wər
all ȯl
there ther
when wən
up əp
use yüs
your yər
how hau̇
said sed
an ən
each ēch
she shē
which wich
do dü
their thər
time tīm
if if
will wil
way wā
about əbau̇t
many menē
then then
them them
write rīt
would wu̇d
like līk
so sō
these thēz
her hər
long lȯŋ
make māk
thing thiŋ
see sē
him im
two tü
has haz
look lu̇k
more mȯr
day dā
could kəd
go gō
come kəm
did did
number nəmbər
sound sau̇nd
no nō
most mōst
people pēpəl
my mī
over ōvər
know nō
water wȯtər
than thən
call kȯl
first fərst
who hü
may mā
down dau̇n
side sīd
been bin
now nau̇
find fīnd
any enē
new nü
work wərk
part pärt
take tāk
get get
place plās
made mād
live liv
where wər
after aftər
back bak
little litᵊl
only ōnlē
round rau̇nd
man man
year yir
came kām
show shō
every evrē
good gu̇d
me mē
give giv
our är
under əndər
name nām
very very
through thrü
just jəst
form fȯrm
sentence sentᵊnts
great great
think thiŋk
say say
help help
low lō
line līn
differ difər
turn tərn
cause kȯz
much məch
mean mēn
before biˈfȯr
move müv
right rīt
boy bȯi
old old
too tü
same sām
tell tel
does dəz
set set
three thrē
want want
air er
well wel
also also
play plā
small smȯl
end end
put pu̇t
home hōm
read rēd
hand hand
port pȯrt
large lärj
spell spel
add ad
even ēvən
land land
here hir
must must
big big
high hī
such səch
follow fälō
act akt
why hwī
ask ask
men men
change chānj
went gō
light līt
kind kīnd
off ȯf
need nēd
house hau̇s
picture pikchər
try trī
us əs
again again
animal anəməl
point pȯint
mother məthər
world wərld
near nir
build bild
self self
earth ərth
father fäthər
head hed
stand stand
own ōn
page pāj
should shəd
country kəntrē
found fau̇nd
answer ansər
school skül
grow grō
study stədē
still stil
learn lərn
plant plant
cover kəvər
food füd
sun sən
four fȯr
between bitwēn
state stāt
keep kēp
eye ī
never nevər
last last
let let
thought thȯt
city sitē
tree trē
cross krȯs
farm färm
hard härd
start stärt
might mīt
story stȯrē
saw sȯ
far fär
sea sē
draw drȯ
left left
late lāt
run rən
don't dōnt
while while
press pres
close klōz
night nīt
real rēl
life līf
few fyü
north nȯrth
open ōpən
seem sēm
together təgethər
next nekst
white hwīt
children childrən
begin bigin
got got
walk wȯk
example igzampəl
ease ēz
paper pāpər
group grüp
always always
music myüzik
those thōz
both bōth
mark märk
often ȯfən
letter letər
until until
mile mīl
river rivər
car car
feet feet
care ker
second second
book bu̇k
carry karē
took tu̇k
science sīəns
eat ēt
room rüm
friend frend
began bigin
idea idea
fish fish
mountain mau̇ntᵊn
stop stäp
once wəns
base bās
hear hir
horse hȯrs
cut kət
sure sure
watch wäch
color kələr
face fās
wood wood
main mān
enough inəf
plain plān
girl gərl
usual usual
young yəŋ
ready redē
above əbəv
ever evər
red red
list list
though thō
feel fēl
talk tȯk
bird bərd
soon soon
body bädē
dog dȯg
family famlē
direct dərekt
pose pōz
leave lēv
song sȯŋ
measure mezhər
door dȯr
product prädəkt
black blak
short shȯrt
numeral numeral
class klas
wind wind
question kweschən
happen hapən
complete kəmplēt
ship ship
area area
half haf
rock räk
order ȯrdər
fire fīr
south sau̇th
problem problem
piece pēs
told tōld
knew nō
pass pas
since sins
top täp
whole hōl
king kiŋ
space spās
heard hərd
best best
hour au̇r
better betər
true trü
during during
hundred həndrəd
five fīv
remember rimembər
step step
early ərlē
hold hōld
west west
ground grau̇nd
interest interest
reach rēch
fast fast
verb vərb
sing siŋ
listen lisn
six siks
table tābəl
travel travəl
less les
morning mȯrniŋ
ten ten
simple simpəl
several sevrəl
vowel vau̇l
toward tōərd
war wȯr
lay lā
against against
pattern patərn
slow slō
center sentər
love ləv
person pərsᵊn
money mənē
serve sərv
appear əpir
road rōd
map map
rain rān
rule rül
govern gəvərn
pull pull
cold kōld
notice nōtəs
voice vȯis
unit yünət
power pau̇r
town tau̇n
fine fīn
certain sərtᵊn
fly flī
fall fȯl
lead lēd
cry krī
dark därk
machine məˈshēn
note nōt
wait wāt
plan plan
figure figure
star stär
box bäks
noun nau̇n
field fēld
rest rest
correct kərekt
able ābəl
pound pau̇nd
done dən
beauty byütē
drive drīv
stood stu̇d
contain kəntān
front frənt
teach tēch
week wēk
final fīnᵊl
gave gāv
green grēn
oh ō
quick kwik
develop diˈveləp
ocean ōshən
warm wȯrm
free frē
minute minət
strong strȯŋ
special speshəl
mind mīnd
behind bihīnd
clear klir
tail tāl
produce produce
fact fakt
street strēt
inch inch
multiply məltəplī
nothing nəthiŋ
course kȯrs
stay stā
wheel hwēl
full full
force fȯrs
blue blü
object äbjikt
decide disīd
surface sərfəs
deep dēp
moon mün
island īlənd
foot fu̇t
system sistəm
busy bizē
test test
record rikȯrd
boat bōt
common kämən
gold gōld
possible päsəbəl
plane plān
stead sted
dry drī
wonder wəndər
laugh laf
thousand thau̇zᵊnd
ago əgō
ran ran
check chek
game gām
shape shāp
equate ikwāt
hot hät
miss mis
brought brȯt
heat hēt
snow snō
tire tīr
bring briŋ
yes yes
distant distənt
fill fil
east ēst
paint pānt
language laŋgwij
among əməŋ
grand grand
ball bȯl
yet yet
wave wāv
drop dräp
heart härt
am em
present prezᵊnt
heavy hevē
dance dance
engine enjən
position pəzishən
arm ärm
wide wīd
sail sail
material mətirēəl
size sīz
vary verē
settle setᵊl
speak spēk
weight wāt
general jenrəl
ice īs
matter matər
circle sərkəl
pair per
include inklüd
divide dəvīd
syllable siləbəl
felt felt
perhaps pərhaps
pick pik
sudden sədᵊn
count count
square skwer
reason rēzᵊn
length length
represent reprizent
art ärt
subject səbjikt
region rējən
energy enərjē
hunt hənt
probable präbəbəl
bed bed
brother brəthər
egg eg
ride rīd
cell sel
believe bəlēv
fraction frakshən
forest fȯrəst
sit sit
race rās
window windō
store stȯr
summer səmər
train trān
sleep slēp
prove prüv
lone lōn
leg leg
exercise eksərsīz
wall wȯl
catch kach
mount mau̇nt
wish wish
sky skī
board bȯrd
joy jȯi
winter wintər
sat sat
written rīt
wild wīld
instrument instrəmənt
kept kept
glass glas
grass gras
cow kau̇
job jōb
edge ej
sign sīn
visit vizət
past past
soft sȯft
fun fən
bright brīt
gas gas
weather wethər
month mənth
million milyən
bear ber
finish finish
happy hapē
hope hōp
flower flauėr
clothe klōth
strange strānj
gone gone
jump jəmp
baby bābē
eight āt
village vilij
meet mēt
root rüt
buy bī
raise rāz
solve sälv
metal metᵊl
whether whether
push pu̇sh
seven sevən
paragraph perəgraf
third thərd
shall shəl
held held
hair her
describe diskrīb
cook ku̇k
floor flȯr
either ēthər
result rizəlt
burn bərn
hill hil
safe sāf
cat kat
century senshrē
consider kənsidər
type tīp
law lȯ
bit bit
coast kōst
copy käpē
phrase frāz
silent sīlənt
tall tȯl
sand sand
soil sȯil
roll rōl
temperature tempərchu̇r
finger fiŋgər
industry indəstrē
value valyü
fight fīt
lie lī
beat bēt
excite ikˈsīt
natural nachərəl
view vyü
sense sens
ear ir
else els
quite kwīt
broke brōk
case kās
middle midᵊl
kill kil
son sən
lake lāk
moment mōmənt
scale skāl
loud lau̇d
spring spriŋ
observe əbzərv
child chīld
straight strāt
consonant känsənənt
nation nāshən
dictionary dikshənerē
milk milk
speed spēd
method methəd
organ ȯrgən
pay pā
age āj
section sekshən
dress dres
cloud klau̇d
surprise sərprīz
quiet kwīət
stone stōn
tiny tīnē
climb klīm
cool kül
design dizīn
poor pu̇r
lot lät
experiment iksperəmənt
bottom bätəm
key kē
iron īrn
single siŋgəl
stick stik
flat flat
twenty twentē
skin skin
smile smīl
crease krēs
hole hōl
trade trād
melody melədē
trip trip
office äfəs
receive risēv
row rō
mouth mau̇th
exact igzakt
symbol simbəl
die dī
least lēst
trouble trəbəl
shout shau̇t
except iksept
wrote rōt
seed sēd
tone tōn
join jȯin
suggest səgjest
clean klēn
break brāk
lady lādē
yard yärd
rise rīz
bad bad
blow blō
oil ȯil
blood bləd
touch təch
grew grü
cent sent
mix miks
team tēm
wire wīr
cost kȯst
lost lȯst
brown brau̇n
wear wer
garden gärdᵊn
equal ēkwəl
sent sent
choose chüz
fell fel
fit fit
flow flō
fair fer
bank baŋk
collect kälikt
save sāv
control kəntrōl
decimal desəməl
gentle jentᵊl
woman woman
captain kaptən
practice praktəstēch
separate sepərāt
difficult difikəlt
doctor däktər
please plēz
protect prətekt
noon nün
whose hüz
locate lōkāt
ring riŋ
character keriktər
insect insekt
caught kȯt
period pirēəd
indicate indəkāt
radio rādēō
spoke spōk
atom atəm
human hyümən
history histərē
effect effect
electric ilektrik
expect ikspekt
crop kräp
modern modern
element eləmənt
hit hit
student stüdᵊnt
corner kȯrnər
party pärtē
supply səplī
bone bōn
rail rāl
imagine imajən
provide prəvīd
agree əgrē
thus thəs
capital kapətᵊl
won't won't
chair cher
danger dānjər
fruit früt
rich rich
thick thik
soldier sōljər
process präses
operate äpərāt
guess ges
necessary nesəserē
sharp shärp
wing wiŋ
create krēāt
neighbor nābər
wash wash
bat bat
rather rathər
crowd krau̇d
corn kȯrn
compare kəmper
poem pōəm
string striŋ
bell bel
depend dipend
meat mēt
rub rəb
tube tüb
famous fāməs
dollar dälər
stream strēm
fear fir
sight sīt
thin thin
triangle trīaŋgəl
planet planət
hurry hərē
chief chēf
colony kälənē
clock kläk
mine mīn
tie tī
enter entər
major mājər
fresh fresh
search sərch
send send
yellow yelō
gun gən
allow əlau̇
print print
dead ded
spot spät
desert dezərt
suit süt
current kərənt
lift lift
rose rōz
continue kəntinyü
block bläk
chart chärt
hat hat
sell sel
success səkses
company kəmpnē
subtract səbtrakt
event ivent
particular pərtikyələr
deal dēl
swim swim
term tərm
opposite äpəzət
wife wīf
shoe shü
shoulder shōldər
spread spred
arrange ərānj
camp kamp
invent invent
cotton kätᵊn
born bȯrn
determine ditərmən
quart kwȯrt
nine nīn
truck trək
noise nȯiz
level levəl
chance chants
gather gathər
shop shäp
stretch strech
throw thrō
shine shīn
property präpərtē
column käləm
molecule mälikyül
select səlekt
wrong rȯŋ
gray grā
repeat ripēt
require rikwīər
broad brȯd
prepare priper
salt sȯlt
nose nōz
plural plu̇rəl
anger aŋgər
claim klām
continent käntənənt
oxygen äksijən
sugar shu̇gər
death deth
pretty pritē
skill skil
women wu̇mən
season sēzᵊn
solution səlüshən
magnet magnət
silver silvər
thank thaŋk
branch branch
match mach
suffix səfiks
especially ispeshlē
fig fig
afraid əfrād
huge hyüj
sister sistər
steel stēl
discuss diskəs
forward fȯrwərd
similar simələr
guide gīd
experience ikspirēənts
score skȯr
apple apəl
bought bȯt
led led
pitch pich
coat kōt
mass mas
card kärd
band band
rope rōp
slip slip
win win
dream drēm
evening ēvniŋ
condition kəndishən
feed fēd
tool tül
total tōtᵊl
basic bāsik
smell smel
valley valē
nor nȯr
double dəbəl
seat sēt
arrive ərīv
master mastər
track trak
parent perənt
shore shȯr
division dəvizhən
sheet shēt
substance səbstənts
